obs  precinct  busha bushm gorea gorem brownea brownem nadera naderm harrisa harrism hagelina hagelinm buchanana buchananm mcreynoldsa mcreynoldsm phillipsa phillipsm mooreheada mooreheadm undera underm overa overm
255 118  426 426  673  674  3  3 28 28 0 0 1 1 16 16 0 1 0 0 1 1 12 10 69 69
256 119  223 223  284  284  2  2 12 12 1 1 0 0  4  4 0 0 0 0 0 0 10 10 26 26
257 119A 126 126  291  291  0  0 10 10 0 0 1 1  1  1 0 0 2 2 1 1  5  5 21 21
258 120  199 199  523  524  2  2 21 21 0 0 0 0  4  4 1 1 1 1 0 0  8  7 39 39
259 121  206 206  327  327  3  3 10 10 1 1 0 0  4  4 0 0 1 1 0 0  6  6 31 31
260 121A  70  70   52   52  0  0  6  6 0 0 0 0  1  1 0 0 0 0 0 0  0  0  3  3
261 121B   5   5   13   13  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0  2  2
262 121C   0   0    5    5  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0  1  1
263 121D 161 161  225  225  1  1  8  8 0 0 0 0  3  3 0 0 0 0 0 0  3  3 24 24
264 122  113 113  245  245  0  0  5  5 0 0 0 0  2  2 0 0 0 0 0 0  5  5 42 42
265 122A  33  33   29   29  0  0  2  2 0 0 0 0  2  2 0 0 0 0 0 0  1  1  6  6
266 123  188 190  392  392  4  4 19 19 0 0 1 1  3  3 0 0 1 1 1 1  7  7 26 24
267 124  116 116  321  323  3  3 15 15 0 0 1 1  4  4 1 1 0 0 0 0  6  6 49 47
268 124A  46  46   79   79  0  0  4  4 0 0 1 1  1  1 0 0 0 0 0 0  1  1  2  2
269 124B  24  24   49   49  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  1  1  6  6
270 124C  67  67  178  179  1  1  1  1 0 0 0 0  2  2 0 0 0 0 0 0  4  4 16 15
271 125  165 165  474  474  0  0  7  7 0 0 0 0  5  5 1 1 0 0 0 0 14 14 37 37
272 126  100 101  186  187  1  1 13 13 0 0 0 0  1  1 0 0 0 0 0 0  7  6 17 16
273 127  524 527  728  730  0  0 27 27 0 0 0 0 14 14 0 0 2 2 0 0 75 70 61 61
274 127A 245 246  269  269  1  1 18 18 0 0 0 0  2  2 0 0 0 0 0 0  1  0 17 17
275 128  428 427  919  923  1  1 21 21 0 1 1 1 13 13 0 0 0 0 1 4 54 43 90 94
276 128A 367 367  527  527  0  0 21 21 0 0 0 0  7  7 0 0 0 0 0 0  8  8 24 24
277 128B 272 274  367  367  0  0 10 10 0 0 2 1  2  2 0 0 0 0 0 0  9  7 31 32
278 128C 328 330  679  681  0  0 16 16 0 0 0 0  6  6 1 1 0 0 1 1  9  5 28 28
279 128D 188 188  375  376  1  1 19 19 0 0 0 0  7  7 0 0 0 0 0 0  6  6 48 47
280 128E 685 687 1143 1143  5  5 16 16 0 0 0 0 13 13 0 0 2 2 0 0 24 19 39 39
281 128F 145 145  221  221  1  1  7  7 0 0 0 0  4  4 0 0 1 1 0 0  5  5 11 11
282 128G 315 315  565  565  2  2 17 17 0 0 0 0  7  7 0 0 1 1 0 0  8  8 43 43
283 128H 535 535  965  965  0  0 17 17 0 0 1 1 13 12 1 0 2 2 1 1 14 14 50 52
284 128I 515 516  941  942  2  2 12 12 0 0 0 0  3  3 1 1 0 0 0 0  7  4 28 29
285 128J 434 434  650  650  2  2 11 11 0 0 3 3  9  9 1 1 1 1 0 0 12 12 33 33
286 128K   7   7    7    7  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0  1  1
287 129  191 191  287  287  1  1  7  7 0 0 1 1  4  4 0 0 0 0 0 0  4  4 35 35
288 129A  55  55  160  159  0  0  2  2 1 1 0 0  0  0 0 0 0 0 0 0  1  1 10 11
289 130  192 192  416  417 1 1 13 13 0 0 0 0  6  6 0 0 0 0 0 0   6   5  43  43
290 130A 286 288  337  338 0 0 16 16 0 0 0 0  4  4 1 1 1 1 0 0  21  18  20  20
291 130B  13  13   66   66 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   4   4
292 130C  10  10   27   27 1 1  0  0 0 0 0 0  0  0 0 0 0 0 0 0   2   2   2   2
293 131  140 140  206  206 0 0 11 11 0 0 0 0  1  1 0 0 1 1 0 0   2   2  16  16
294 131A  51  51  147  147 0 0  4  4 0 0 0 0  0  0 0 0 0 0 0 0   2   2  10  10
295 132   83  83  291  292 2 2  6  6 0 0 0 0  1  1 0 0 0 0 0 0   2   1  38  38
296 132A 352 352  690  693 1 1 17 17 1 1 0 0 11 11 0 0 1 2 0 0  21  16  80  81
297 132B  69  69  141  141 2 1  2  2 0 0 0 0  4  4 0 0 0 0 0 0  10  10  26  27
298 132C 504 504  971  972 6 6 16 16 0 0 2 2 16 16 1 1 1 2 1 1  73  71  51  51
299 132D 332 332  632  633 1 1 12 12 0 0 0 0  3  3 1 1 0 0 1 1  16  15  39  39
300 133  127 127  656  655 3 3  6  6 0 0 0 0  9  9 0 0 0 0 0 0  34  35 110 110
301 134  227 227  462  462 0 0  8  8 0 0 1 1 14 14 0 0 0 0 0 0   5   5  43  43
302 135  209 210  148  149 0 0  4  4 0 0 0 0  1  1 0 0 0 0 0 0   4   7   9   4
303 135A   4   4    6    6 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
304 135B 144 144  888  896 0 0  0  1 0 0 0 0  5  5 5 6 1 1 0 0  44  11  39  62
305 135C  21  21   26   26 1 1  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
306 135D   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
307 136  425 429  703  704 1 2 15 15 0 0 0 0 13 13 1 1 0 0 0 0  67  64  56  53
308 137  334 335  515  516 5 5  7  8 0 0 0 0 26 26 3 3 0 0 1 1  60  53 103 107
309 138  152 153  339  341 2 2  8  8 0 0 0 0  6  6 0 0 0 0 0 0   7   4  30  30
310 140  232 235  456  456 2 2 18 18 0 0 0 0  8  8 0 0 0 0 0 0  16  13  47  47
311 140A 388 388  538  538 1 1 19 19 0 0 0 0  4  4 2 2 0 0 0 0   8   8  55  55
312 141  281 281  326  326 2 2 10 10 0 0 0 0 12 12 0 0 0 0 0 0   8   8  40  40
313 141A  70  70  163  163 0 0 13 13 0 0 1 1  3  3 0 0 2 2 0 0   3   3  17  17
314 142  308 310  340  340 5 5 13 13 0 0 0 0  3  3 0 0 0 0 0 0   6   4  20  20
315 142A  41  41   70   70 0 0  3  3 0 0 0 0  1  1 0 0 0 0 0 0   1   1   6   6
316 142B   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
317 143   10  10   11   11 1 1  1  1 0 0 0 0  1  1 0 0 0 0 0 0   0   0   0   0
318 144  394 394  699  700 1 1  6  6 1 1 0 0  6  6 1 1 2 2 0 0  16  15  48  48
319 144A 334 335  523  521 6 6 18 18 0 0 1 1  9  8 1 1 0 0 0 0  30  32  32  32
320 144B 428 430  687  689 5 6 22 22 1 1 0 0 10 10 0 0 0 0 0 0  58  51  34  36
321 144C 433 436  943  949 1 1 19 19 2 2 0 0 36 36 3 3 3 3 0 0 125 114 121 123
322 144D 598 600  932  933 4 4 18 18 0 0 0 0 21 21 2 2 1 1 1 1  64  61 100 100
323 144E 424 423  719  721 1 1 13 14 0 0 1 1 10 10 0 0 0 0 0 0  87  83  53  55
324 144F   1   1    8    8 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
325 145  220 220  265  265 0 0 11 11 0 0 0 0  1  1 0 0 0 0 0 0   3   3  17  17
326 146   24  24  656  660 0 0  2  2 0 0 0 0  8  8 2 2 1 1 0 0  27  23  71  71
327 147  280 280  547  547 2 2 16 16 1 1 0 0  3  3 0 0 0 0 0 0   5   5  40  40
328 147A  25  25   92   92 0 0  4  4 0 0 0 0  4  4 1 1 0 0 0 0   2   2   9   9
329 148  612 612  858  858 2 2 28 28 1 1 0 0 26 26 2 2 2 2 0 0  90  90  63  63
330 148A 210 210  332  332 0 0 12 13 0 0 0 0 10 10 0 0 0 0 0 0   6   5  32  32
331 148B 163 163  253  254 0 0  8  8 0 0 0 0 10 10 0 0 1 1 0 0   4   3  35  35
332 148C 414 416  661  663 3 3  7  7 0 0 0 0  6  6 1 2 1 1 0 0  12   9  30  28
333 148D 519 523  860  863 3 3 24 24 0 0 1 1 15 15 0 0 2 2 0 0 175 167  50  51
334 148E  46  46   14   14 0 0  2  2 0 0 0 0  2  2 0 0 0 0 0 0   1   1   4   4
335 148F  83  83  180  180 0 0  2  2 0 0 0 0  4  4 0 0 0 0 0 0   5   5   3   3
336 148G 258 258  794  795 3 3  8  8 0 0 0 0  9  9 4 4 1 1 0 0  12  10  67  68
337 148H   1   1    3    3 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
338 148J 260 260  741  746 2 2  9  9 0 0 0 0  3  3 0 0 0 0 0 0 18 13  23  23
339 148K  63  63 1233 1237 1 1  5  5 0 0 0 0 22 22 1 1 0 0 0 0 43 39  73  73
340 148L 220 220 1060 1063 0 0  3  3 0 0 0 0 14 14 1 1 0 0 0 0 16 13  65  65
341 148M 272 273  683  684 0 0  8  8 0 0 0 0  9  9 1 1 0 0 0 0 23 21  50  50
342 148N 121 121 1125 1127 2 2  5  5 0 0 0 1  8  8 0 0 1 1 1 1 17 14  84  84
343 148O 439 439  745  747 1 1 28 28 0 0 0 0  9  9 1 2 0 0 0 1 47 43  46  46
344 148P 131 134  732  734 0 0  6  6 0 0 0 0  8  8 0 0 0 0 0 0 31 26  52  52
345 148Q  41  41  596  597 0 0  1  1 0 0 0 0  6  6 1 1 1 1 0 0  8  7  45  45
346 149  480 480  494  494 1 1 13 14 1 1 1 1 13 13 2 2 2 2 1 1 16 15  61  61
347 150  483 483  303  303 2 2 25 25 0 0 0 0  6  6 0 0 0 0 0 0  8  8   9   9
348 150A  68  68   68   68 0 0  3  3 0 0 0 0  0  0 0 0 0 0 0 0  4  4  10  10
349 150B  28  28   33   33 0 0  7  7 0 0 1 1  0  0 0 0 0 0 0 0  0  0   2   2
350 151  112 112   48   48 0 0  2  2 0 0 0 0  0  0 0 0 0 0 0 0  2  2   6   6
351 152  282 282  452  454 2 2 16 16 0 0 1 1  3  3 1 1 0 0 0 0  8  6  45  45
352 153  414 415  628  628 1 1 16 16 0 0 1 1 13 14 0 0 0 1 0 3 41 35  68  68
353 153A 377 377  683  684 5 5 20 20 0 0 1 1  6  6 0 0 0 0 0 0 11 10  20  20
354 153B 401 403  609  609 3 3 17 17 0 0 0 0  7  7 0 0 1 1 0 0 12 10  31  31
355 154  675 676 1072 1073 4 4 25 25 0 0 0 0 20 20 2 2 1 1 0 0 53 50 100 101
356 154A 188 188 1639 1647 5 6 12 14 0 0 2 2 29 30 0 1 0 0 0 0 93 82  64  62
357 154B 453 453   90   90 0 0  4  4 0 0 0 0  2  2 1 1 0 0 0 0  6  6  12  12
358 154C 116 118   10   10 0 0  0  0 0 0 0 0  1  1 0 0 0 0 0 0  6  4   1   1
359 154D 205 206 1022 1025 0 0  7  7 1 1 0 0 15 15 0 0 0 0 0 0 15 12  47  46
360 154E 293 295 1288 1295 3 3 13 13 0 0 1 1 19 19 1 1 0 0 0 0 29 19  81  82
361 154F  37  37  520  521 0 0  0  0 0 0 0 0  6  6 0 0 0 0 0 0 13 12  26  26
362 154G 195 195 2027 2031 2 2 10 10 1 1 0 0 23 23 2 2 0 0 0 0 55 51 119 119
363 155  318 318  461  461 1 1 19 19 0 0 0 0  4  4 0 0 0 1 0 0  8  7  36  36
364 155A 388 388  473  475 0 0 10 10 0 0 0 0 23 23 2 2 2 3 0 0 26 23  78  78
365 155B 377 377  715  716 6 6 18 10 0 0 0 0  5  5 0 0 0 0 1 1 14 35  51  29
366 156  160 161  306  306 0 0  6  6 0 0 1 1  6  6 0 0 0 0 0 0 17 16  32  32
367 156A 182 182  221  222 0 2  5  5 0 0 0 0  4  4 1 1 0 0 0 0 10  7  26  26
368 156B 127 128  111  111 1 1  5  5 0 0 0 0  2  2 0 0 0 0 0 0  4  3  15  15
369 156C  19  19   34   34 0 0  3  3 0 0 0 0  0  0 0 0 0 0 0 0  1  1   2   2
370 157  111 111  790  792 3 4  9 10 0 0 0 0 10 10 1 1 2 3 1 1 25 21 100  99
371 157A  53  53  362  362 0 0  5  5 1 1 0 0 13 13 0 0 0 0 0 0 11 11  31  31
372 157B 135 136  661  662 0 0  9  9 0 0 0 0  4  4 2 2 0 0 0 0 24 23  51  50
373 158  112 113  141  142 0 0  6  6 0 0 0 0  1  1 0 0 0 0 0 0  8  5  17  18
374 159  562 564  721  722 5 5 13 14 0 0 0 0  3  3 1 1 0 0 1 2 11  8  44  42
375 159A 573 573  713  713 2 2 10 10 0 0 0 0  6  6 0 0 1 1 0 0  4  3  29  30
376 159B 494 494  531  532 2 2 17 17 0 0 0 0  3  3 0 0 1 1 0 0  8  8  20  19
377 159C 562 562  633  633 0 0  9  9 0 0 0 0  4  4 0 0 0 0 0 0  7  7  40  40
378 159D 102 102  106  107 1 1  6  6 0 0 0 0  1  1 0 0 0 0 0 0  1  1   6   5
379 159E 628 631  636  638 0 0  9  9 0 1 1 1  6  6 2 2 0 2 0 0 24 17  40  39
380 159F 469 469  638  640 4 4  8  8 0 0 0 0  0  0 0 0 0 0 0 0  9  8  28  27
381 159G  42  42   27   27 0 0  1  1 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
382 159H   8   8   10   10 0 0  1  1 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
383 159I 961 962  915  915 1 1 23 23 1 1 0 0 12 12 0 1 2 2 0 0 17 15  43  43
384 159J 341 343  450  451 2 2 11 11 0 0 0 0  4  4 0 0 0 0 0 0  8  5  26  26
385 159K 379 379  627  629 1 1 11 11 0 0 0 0  4  4 1 1 0 0 0 0   8   7  34  33
386 159L 413 413  510  510 2 2 13 13 0 0 0 0  4  4 0 0 0 0 0 0   9   9  19  19
387 159M   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
388 159N   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
389 159O   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
390 159P 342 342  327  327 0 0  5  5 0 0 1 1  0  0 0 0 0 0 0 0   3   3   4   4
391 159Q 365 365  466  467 0 0 13 13 0 0 0 0  4  4 1 1 0 0 0 0   6   4  23  24
392 160  177 177 1054 1054 0 0  4  4 1 1 0 0 15 15 1 1 1 1 0 0   9   9  55  55
393 161  391 392  337  338 5 5 16 16 0 0 0 0  4  4 1 1 0 0 0 0   8   6  17  17
394 161A  76  76   74   74 0 0  2  2 0 0 0 0  0  0 0 0 0 0 0 0   0   0   2   2
395 161B   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
396 162  280 280  210  210 1 1  7  7 0 0 0 0  3  3 0 0 0 0 0 0   4   4  19  19
397 162A  89  89  997  998 1 1  7  7 0 0 0 0  8  8 2 2 0 0 0 0  15  14  84  84
398 162B 142 144 1419 1423 1 1  6  8 0 0 0 0 23 23 1 1 0 1 0 0  79  70  73  73
399 162C 138 138  637  637 0 0  4  4 0 0 1 1 17 17 0 0 0 0 1 1  17  17  71  71
400 162D  83  83  630  635 1 1  0  0 0 0 0 0  6  6 0 0 1 1 0 0  14   8  19  20
401 162E 203 205 1092 1092 0 0  3  3 0 0 0 0 29 29 3 3 0 0 1 1 185 182  73  74
402 162F 273 273 1020 1020 0 0  7  7 0 0 0 0  9  9 2 2 0 0 0 0   6   6  58  58
403 162G 151 154 1501 1503 3 4  9 11 0 0 2 2 47 49 6 6 1 3 3 2  90  72 168 175
404 162H  15  15  139  139 0 0  0  0 0 0 0 0  1  1 0 0 0 0 0 0   0   0   4   4
405 162I 157 157   32   32 0 0  2  2 0 0 0 0  2  2 0 0 0 0 0 0   5   5   9   9
406 162J 249 252 1689 1694 1 2 15 16 0 0 0 0 38 38 0 0 3 3 0 0  78  68 108 108
407 162K 270 271 1095 1100 1 1 10 11 1 1 0 1 31 31 0 0 0 1 1 1  65  56 102 102
408 162L  62  62  526  528 0 0  3  3 0 0 0 0  2  2 0 0 0 0 0 0  17  15  20  20
409 163   68  68   96   98 0 0  5  5 0 0 0 0  1  1 1 1 0 0 0 0   3   1   9   9
410 164  182 182  558  558 0 0 11 11 0 0 0 0  5  5 1 1 0 0 0 0  14  13  37  38
411 165   72  73  239  240 0 0  1  1 0 0 0 0  8  8 0 0 0 0 0 0  12  10  29  29
412 166  401 401  430  430 3 3 29 29 0 0 1 1  0  0 0 0 0 0 0 0   2   2  31  31
413 166A 158 158  203  204 2 2  8  8 0 0 0 0  4  4 2 2 0 0 0 0   1   0   4   4
414 166B  81  81  352  353 0 0  1  1 1 1 0 0  7  7 0 0 0 0 0 0   7   6  49  49
415 166C 174 174  164  164 0 0  4  4 0 0 0 0 13 13 0 0 0 0 0 0   5   5  37  37
416 167  278 278   68   68 2 2  4  4 0 0 0 0  7  7 0 0 0 0 0 0   2   2   4   4
417 168   47  47 1111 1114 1 1  6  6 0 0 0 0 19 19 4 4 0 0 0 0  23  20  83  83
418 168A  32  33  751  755 0 0  7  7 0 0 0 0 19 19 1 1 0 0 0 0  23  18  77  77
419 168B  35  35  263  264 1 1  0  0 0 0 0 0  5  5 0 0 0 0 0 0   8   7   8   8
420 169   35  35  278  278 0 0  5  5 0 0 0 0  6  6 0 0 1 1 0 0   3   3  31  31
421 170  114 114  268  268 1 1  6  6 0 0 0 0  4  4 0 0 0 0 0 0   2   2  17  17
422 171  497 498  814  817 3 3 22 23 0 0 0 0 28 27 1 1 0 1 2 2  44  38  90  91
423 171A 494 496 1349 1354 2 2 26 26 0 0 1 1 28 28 1 1 1 1 0 0  73  65 127 128
424 171B  40  40  376  378 0 0  3  3 0 0 0 0  1  1 1 1 0 0 0 0   9   7  40  40
425 171C  87  87  405  406 0 0  9  9 0 0 0 0  4  4 0 0 1 1 0 0   7   5  32  33
426 171D  29  29   35   35 0 0  1  1 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
427 172   31  31  659  660 1 1  2  2 0 0 0 0  6  6 4 4 1 1 0 0  15  14  42  42
428 172A   7   7   15   15 0 0  0  0 0 0 1 1  0  0 0 0 0 0 0 0   0   0   1   1
429 172B   6   6   10   10 0 0  2  2 0 0 0 0  1  1 0 0 0 0 0 0   1   1   0   0
430 172C   1   1    1    1 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   1   1
431 172D   2   2    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
432 173   16  16  745  747 0 0  1  1 0 0 0 0  6  6 4 4 0 0 0 0  25  23  63  63
433 174  686 694  660  660 2 2 17 17 0 0 0 0 13 13 1 1 2 2 0 0  99  91  49  49
434 174A 608 611  922  924 1 1 21 21 0 0 4 4 15 15 0 0 0 0 2 2 115 110  50  50
435 174B  48  48  200  200 1 1  5  5 0 0 0 0  3  3 0 0 0 0 0 0   1   1  19  19
436 174C 374 374  529  531 1 1 23 23 0 0 1 1  5  6 0 0 0 0 0 0  15  12  28  28
437 175   55  55  843  846 0 0  6  6 0 0 0 0  4  4 2 2 0 0 0 0  26  23  76  76
438 175A  15  15   31   31 0 0  0  0 0 0 0 0  1  1 0 0 0 0 0 0   1   0   1   1
439 176  130 130  277  277 0 0  4  4 0 0 0 0  5  5 2 2 0 0 0 0   3   3  20  20
440 176A 342 345  771  775 2 3 17 17 0 0 0 0 18 18 0 0 0 0 0 0  68  60  25  25
441 176B 285 288  405  407 2 2 14 14 0 0 0 0  5  5 0 0 0 0 0 0  38  33  22  22
442 177    0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
443 178  356 356  490  491 6 6 27 27 0 0 0 0  3  3 0 0 1 1 0 0  22  21  32  32
444 178A 132 132  226  226 0 0  9  9 0 0 1 1  9  9 1 1 0 0 0 0   6   6  26  26
445 179  130 130  431  431 0 0  5  5 0 0 0 0 10 10 0 0 0 0 0 0  13  13  54  54
446 180   62  62  889  897 1 1  9  9 0 0 0 0 14 14 3 2 0 0 0 0  19  10  64  66
447 182   24  24  286  285 0 0  1  1 0 0 0 0 13 13 0 0 0 0 0 0   3   3  40  41
448 183   39  39  605  608 1 1  4  4 0 0 0 0 11 11 1 1 0 0 0 0   7   5  36  35
449 184   27  27  349  350 0 0  2  2 0 0 0 0  4  4 0 0 0 0 0 0   9   8  31  31
450 185   43  43  731  740 1 1  5  5 0 0 0 0  5  5 2 2 0 0 1 1  39  28 105 107
451 186   49  49  983  983 0 0  4  4 0 0 0 0  9  9 2 2 0 0 0 0  20  20  79  79
452 187   48  48  874  874 0 0  1  1 0 0 0 0 14 14 2 2 0 0 0 0  22  22  81  81
453 188   32  32  658  660 0 0  0  0 0 0 0 0  4  4 1 1 0 0 0 0  17  14  61  62
454 189  500 499  510  511 1 1 24 26 0 0 0 0  5  6 0 0 0 0 0 0  47  42  21  23
455 190  693 700  465  467 2 2 26 27 0 0 0 0 13 13 0 0 1 1 0 0  93  83  35  35
456 191  697 703  890  892 2 3 24 25 0 0 2 3 18 18 3 5 3 5 0 0 186 170  52  53
457 193  350 356  692  700 6 6 33 33 0 0 1 1  9  7 1 1 1 1 0 0 180 161  25  32
458 193A 704 706  942  944 1 1 16 16 0 0 0 0 23 23 2 2 1 1 0 0  69  63  71  73
459 193B 551 553 1182 1185 4 4 13 14 0 0 2 2 15 15 1 1 1 1 1 1  35  29  48  48
460 193C 246 246 1453 1459 1 1 10 10 0 0 0 0 11 11 1 1 0 0 0 0  32  27  63  62
461 193D 471 475  742  749 4 5 23 23 0 0 3 3 15 15 1 1 2 2 0 0 139 125  56  58
462 193E 366 367  894  895 2 3 19 19 0 0 0 1  9  9 3 3 0 0 0 0 127 120  39  42
463 193F 340 344  653  655 6 6  8  8 0 0 0 0  8  8 2 2 0 1 0 0  63  56  31  31
464 194  605 605 1050 1065 5 5 16 16 0 0 0 0 15 15 1 1 0 0 0 0  79  79  43  43
465 194A 292 295  937  938 2 2 16 16 0 0 0 0 17 18 1 1 1 1 0 0  77  72  71  71
466 194B 430 431 1318 1326 2 2  6  6 0 0 1 1 24 24 0 0 1 1 0 0  59  51  57  56
467 194C 114 114  381  381 1 1  1  1 0 0 0 0  4  4 1 1 0 0 0 0   6   6  18  18
468 194D  99  99 1293 1297 1 1 12 14 0 0 0 0 30 30 0 1 0 1 2 3  78  69 104 105
469 194E 311 312  815  817 1 1 12 12 0 0 0 0  5  5 2 2 0 0 0 0  23  20  50  50
470 194F  36  36  399  399 0 0  0  0 0 0 0 0  2  2 3 3 0 0 0 0   8   8  22  22
471 194G 356 360  847  853 1 1 10 10 0 0 0 0 10 10 0 0 1 1 0 0  75  65  39  39
472 195  401 403 1029 1031 2 2 14 15 0 0 0 0 26 26 1 1 1 1 1 1  33  26  58  60
473 196  520 520  558  559 1 1 19 19 0 0 1 1  5  5 0 0 1 1 1 1   6   5  31  31
474 196A 276 278  279  279 2 2 29 29 0 0 0 0  0  0 0 0 0 0 0 0   5   3  16  16
475 196B   2   2    5    5 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0   0   0   0   0
476 197  519 520  480  480 0 0 15 15 0 0 0 0  2  2 0 0 0 0 0 0   7   6  11  11
477 198  338 338  610  610 4 4 19 19 0 0 1 1 12 12 0 0 1 1 0 1  27  26  70  70
478 198A 436 437  639  641 2 2 10 10 0 0 0 0  7  7 0 0 1 1 0 0  13  10  35  35
479 199  640 643  540  541 2 2 22 22 0 0 0 0 10 10 0 0 1 1 0 0 104 100  29  29
480 199A 121 121  241  241 0 0  8  8 0 0 0 0  3  3 0 0 0 0 0 0   4   4  19  19
481 200  301 301  443  443 0 0 17 17 0 0 1 1  4  4 0 0 2 2 0 0  6  6  35  35
482 201  396 397  535  535 4 4 14 14 0 0 1 1  9  9 0 0 1 1 0 0 10  9  30  30
483 201A 230 230  158  158 2 2  7  7 0 0 0 0  4  4 0 0 0 0 0 0  1  1   8   8
484 202  358 359  343  343 3 3  6  6 0 0 0 0  1  1 0 0 0 0 0 0  4  3  13  13
485 202A 443 443  397  397 4 4 13 13 0 0 0 0  3  3 0 0 0 0 0 0  4  4  24  24
486 203  124 124  107  107 0 0  3  3 0 0 0 0  1  1 0 0 0 0 0 0  1  1   5   5
487 204  568 572  524  524 6 6 17 17 0 0 0 0  9  9 0 0 0 0 0 0 73 69  40  40
488 205  387 388  695  695 4 5 19 19 1 1 0 0 12 12 0 0 2 2 0 0 27 25  69  69
489 205A 421 421  679  679 1 1 10 10 0 0 0 0  4  4 1 1 0 0 0 0  8  8  29  29
490 205B 404 405 1156 1162 2 4 11 12 0 1 1 1 11 12 0 0 3 3 1 1 79 67  67  67
491 205C 365 368 1250 1259 3 5 10 13 0 2 0 0 18 18 1 1 1 2 2 3 76 53  68  70
492 205D 314 314  833  833 2 2 10 10 0 0 0 0  4  4 0 0 1 1 0 0  8  8  26  26
493 205E 175 176  419  419 2 2 11 11 0 0 0 0  0  0 0 0 0 0 0 0  9  8  10  10
494 205F 667 670 1240 1244 6 6 17 17 0 0 0 0  9 10 1 1 1 1 0 0 49 41  36  36
495 205G 642 645 1450 1450 2 2 18 18 0 0 0 0  8  8 0 0 0 0 1 1 41 41  46  43
496 205H 422 422  681  681 1 1 12 12 0 0 0 0  2  2 1 1 0 0 0 0  5  5  25  25
497 206  242 242 1078 1078 0 0  8  8 1 1 0 0 12 12 2 2 2 2 1 1 25 25  76  76
498 206A 584 590  969  972 0 0 30 30 0 0 0 0 10 10 0 0 0 1 0 0 43 33  45  45
499 206B 383 384 1371 1374 1 2  8  9 0 1 1 1 32 32 2 2 1 1 0 0 58 51  68  68
500 206C 290 291  882  882 0 2 11 12 0 0 0 0 20 20 2 2 0 1 2 2 25 19  39  40
501 206D 305 308  977  981 3 4 15 22 0 0 1 1 40 41 0 1 0 0 0 1 95 74 103 106
502 207  136 135  148  148 0 0 12 12 0 0 0 0  2  2 0 0 0 0 0 0  7  7  21  22
503 207A 442 442  484  485 3 3 22 22 0 0 1 1  1  1 0 0 0 0 0 0  7  6  32  32
504 208  325 325  344  344 4 4  9  9 0 0 0 0  4  4 0 0 0 0 0 0  9  9  27  27
505 209  416 416  285  285 0 0 10 10 0 0 0 0  2  2 0 0 1 1 0 0  4  4  14  14
506 210  284 284  309  310 4 4  6  6 0 0 0 0  2  2 0 0 0 0 0 0  2  1  25  25
507 211  776 782  583  584 1 1 20 20 0 0 1 1 17 17 1 1 3 3 0 0 73 66  49  49
508 212  495 495  475  476 2 2 20 20 0 0 3 3  1  1 1 1 0 0 0 0  8  7  22  22
509 213  331 331  547  548 2 2 17 17 0 0 0 0  1  1 1 1 0 0 0 0 19 18  24  24
510 213A  68  68  188  188 1 1  4  4 0 0 0 0  3  3 0 0 0 0 0 0  0  0   5   5
511 214  702 705  646  647 8 9 32 32 0 0 0 0  6  6 0 0 1 1 1 1 51 47  44  43
512 214A 235 235  211  211 1 1  9  9 0 0 0 0  2  2 0 0 1 1 0 0  1  1   7   7
513 215  433 433  400  400 2 2 11 11 0 0 0 0  5  5 0 0 0 0 0 0  8  8  22  22
514 216  725 732  658  658 2 2 23 23 0 0 0 0 19 19 0 0 2 2 0 0 27 20  51  51
515 217  403 403  573  574 4 4 12 12 0 0 0 0  4  4 0 0 0 0 0 0 10  9  28  28
516 218  241 244  688  690 0 0  6  6 0 0 0 0 10 10 2 2 0 0 0 0 30 25  55  55
