obs  precinct  busha bushm gorea gorem brownea brownem nadera naderm harrisa harrism hagelina hagelinm buchanana buchananm mcreynoldsa mcreynoldsm phillipsa phillipsm mooreheada mooreheadm undera underm overa overm
59 19A 522 523  739  739 1 1 15 15 0 0 0 0  6  6 0 0 1 2 0 0 12 10  38  38
60 20   68  69  407  409 1 1  7  7 0 0 0 0 10 10 1 1 0 0 0 0 12  9  55  55
61 21   62  62  401  402 0 0  5  6 0 0 0 0  5  5 1 1 0 0 0 1  3  0  55  55
62 21A   4   4   61   61 0 0  0  0 0 0 0 0  1  1 0 0 0 0 0 0  0  0   9   9
63 22   76  76  674  674 0 0  6  6 0 0 0 0 18 19 0 0 0 0 1 1 23 22 100 100
64 23   79  79  487  486 0 0  7  7 0 0 0 0  6  6 0 0 0 0 0 0 22 22  57  58
65 24  149 149 1139 1142 1 1  7  7 1 1 0 0 24 24 1 1 0 0 0 0 24 20 113 114
66 25  230 230  233  233 0 0  7  7 0 0 0 0  3  3 0 0 1 1 1 1  3  3  20  20
67 25A 174 174  169  169 0 0  6  6 0 0 0 0  1  1 0 0 0 0 0 0  1  1  10  10
68 25B 226 228  216  217 1 1 10 10 0 0 0 0  3  3 0 0 1 1 0 0  9  5  25  26
69 26  214 214  295  295 0 0 11 11 0 0 1 1  2  2 0 0 0 0 0 0  5  5  19  19
70 26A 251 251  458  459 1 1  7  7 0 0 1 1  3  3 1 0 0 0 1 1 11 10  61  62
71 26B 214 214  306  307 2 2 15 15 0 0 2 2  7  7 0 0 0 0 0 0  9  8  22  22
72 26C 333 333  214  214 1 1 11 11 0 0 0 0  2  2 0 0 0 0 0 0  3  3  10  10
73 27  260 263  662  668 0 0 13 13 0 0 1 1  4  4 0 0 0 0 0 0 31 21  88  89
74 28  671 673  358  359 1 1 13 13 0 0 0 0  9  9 0 0 0 0 1 1 25 22  24  24
75 29  245 245 1013 1014 0 0 12 12 1 0 0 0 23 24 0 0 1 1 0 0 27 25  92  93
76 29A 386 386  531  531 1 1 17 17 0 0 0 0  9  9 1 1 0 0 1 1  6  6  37  37
77 29B  64  64  702  702 0 0  3  3 1 1 0 0 11 11 2 2 0 0 0 0 25 25  37  37
78 29C 315 316  371  371 0 0 12 12 0 0 0 0  2  2 0 0 1 1 0 0  5  4  18  18
