precinct         foley     brown   mcguire    writein
114  -99         -99          -99           -99
114A  44        65         1         0
114B  -99         -99          -99           -99
114C  4         0         0         0
114D  6         1         0         0
115  0299       223        10         0
116  -99         -99          -99           -99
117  0492       476        29         0
117A  554       605        39         0
118  -99         -99          -99           -99
119  -99         -99          -99           -99
119A  -99         -99          -99           -99
120  -99         -99          -99           -99
121  -99         -99          -99           -99
121A  -99         -99          -99           -99
121B  -99         -99          -99           -99
121C  -99         -99          -99           -99
121D  -99         -99          -99           -99
122  -99         -99          -99           -99
122A  -99         -99          -99           -99
123  -99         -99          -99           -99
124  -99         -99          -99           -99
124A  -99         -99          -99           -99
124B  -99         -99          -99           -99
124C  -99         -99          -99           -99
125  -99         -99          -99           -99
126  -99         -99          -99           -99
127  -99         -99          -99           -99
127A  -99         -99          -99           -99
128  -99         -99          -99           -99
128A  -99         -99          -99           -99
128B  366       245        13         0
128C  494       463        14         0
128D  -99         -99          -99           -99
128E  -99         -99          -99           -99
128F  -99         -99          -99           -99
128G  -99         -99          -99           -99
128H  -99         -99          -99           -99
128I  -99         -99          -99           -99
128J  -99         -99          -99           -99
128K  -99         -99          -99           -99
129  -99         -99          -99           -99
129A  -99         -99          -99           -99
130  -99         -99          -99           -99
130A  -99         -99          -99           -99
130B  -99         -99          -99           -99
130C  -99         -99          -99           -99
131  -99         -99          -99           -99
131A  -99         -99          -99           -99
132  -99         -99          -99           -99
132A  -99         -99          -99           -99
132B  -99         -99          -99           -99
132C  -99         -99          -99           -99
132D  -99         -99          -99           -99
133  -99         -99          -99           -99
134  -99         -99          -99           -99
135  0232       114        10         0
135A  -99         -99          -99           -99
135B  275       732         7         0
135C  25        19         3         0
135D  -99         -99          -99           -99
136  -99         -99          -99           -99
137  0420       429        19         0
138  -99         -99          -99           -99
140  -99         -99          -99           -99
140A  -99         -99          -99           -99
141  -99         -99          -99           -99
141A  -99         -99          -99           -99
142  -99         -99          -99           -99
142A  -99         -99          -99           -99
142B  -99         -99          -99           -99
143  015         7         2         0
144  0542       510        23         0
144A  -99         -99          -99           -99
144B  630       468        41         0
144C  722       752        44         0
144D  893       659        35         0
144E  613       526        55         0
144F  0         3         0         0
145  -99         -99          -99           -99
146  -99         -99          -99           -99
147  -99         -99          -99           -99
147A  -99         -99          -99           -99
148  -99         -99          -99           -99
148A  -99         -99          -99           -99
148B  -99         -99          -99           -99
148C  -99         -99          -99           -99
148D  -99         -99          -99           -99
148E  -99         -99          -99           -99
148F  101       144         7         0
148G  -99         -99          -99           -99
148H  -99         -99          -99           -99
148J  -99         -99          -99           -99
148K  -99         -99          -99           -99
148L  -99         -99          -99           -99
148M  -99         -99          -99           -99
148N  -99         -99          -99           -99
148O  -99         -99          -99           -99
148P  -99         -99          -99           -99
148Q  -99         -99          -99           -99
149  -99         -99          -99           -99
150  -99         -99          -99           -99
150A  -99         -99          -99           -99
150B  -99         -99          -99           -99
151  -99         -99          -99           -99
152  -99         -99          -99           -99
153  -99         -99          -99           -99
153A  -99         -99          -99           -99
153B  -99         -99          -99           -99
154  -99         -99          -99           -99
154A  -99         -99          -99           -99
154B  -99         -99          -99           -99
154C  -99         -99          -99           -99
154D  -99         -99          -99           -99
154E  -99         -99          -99           -99
154F  -99         -99          -99           -99
154G  -99         -99          -99           -99
155  -99         -99          -99           -99
155A  -99         -99          -99           -99
155B  -99         -99          -99           -99
156  -99         -99          -99           -99
156A  -99         -99          -99           -99
156B  -99         -99          -99           -99
156C  -99         -99          -99           -99
157  -99         -99          -99           -99
157A  -99         -99          -99           -99
157B  -99         -99          -99           -99
158  -99         -99          -99           -99
159  0748       468        33         0
159A  791       436        24         0
159B  -99         -99          -99           -99
159C  -99         -99          -99           -99
159D  137        72         2         0
159E  791       425        26         0
159F  655       406        19         0
159G  47        16         4         0
159H  9         3         3         0
159I  -99         -99          -99           -99
159J  445       300        19         0
159K  509       438        23         0
159L  511       366        22         0
159M  0         0         0         0
159N  0         0         0         0
159O  0         0         0         0
159P  451       179         6         0
159Q  476       327        14         0
160  -99         -99          -99           -99
161  -99         -99          -99           -99
161A  -99         -99          -99           -99
161B  -99         -99          -99           -99
162  -99         -99          -99           -99
162A  -99         -99          -99           -99
162B  -99         -99          -99           -99
162C  -99         -99          -99           -99
162D  -99         -99          -99           -99
162E  -99         -99          -99           -99
162F  -99         -99          -99           -99
162G  -99         -99          -99           -99
162H  -99         -99          -99           -99
162I  -99         -99          -99           -99
162J  -99         -99          -99           -99
162K  -99         -99          -99           -99
162L  -99         -99          -99           -99
163  -99         -99          -99           -99
164  -99         -99          -99           -99
165  -99         -99          -99           -99
166  -99         -99          -99           -99
166A  -99         -99          -99           -99
166B  -99         -99          -99           -99
166C  -99         -99          -99           -99
167  -99         -99          -99           -99
168  -99         -99          -99           -99
168A  -99         -99          -99           -99
168B  -99         -99          -99           -99
169  -99         -99          -99           -99
170  -99         -99          -99           -99
171  -99         -99          -99           -99
171A  -99         -99          -99           -99
171B  -99         -99          -99           -99
171C  -99         -99          -99           -99
171D  -99         -99          -99           -99
172  -99         -99          -99           -99
172A  -99         -99          -99           -99
172B  -99         -99          -99           -99
172C  -99         -99          -99           -99
172D  -99         -99          -99           -99
173  -99         -99          -99           -99
174  -99         -99          -99           -99
174A  -99         -99          -99           -99
174B  -99         -99          -99           -99
174C  -99         -99          -99           -99
175  -99         -99          -99           -99
175A  -99         -99          -99           -99
176  -99         -99          -99           -99
176A  -99         -99          -99           -99
176B  -99         -99          -99           -99
177  -99         -99          -99           -99
178  -99         -99          -99           -99
178A  -99         -99          -99           -99
179  -99         -99          -99           -99
180  -99         -99          -99           -99
182  -99         -99          -99           -99
183  -99         -99          -99           -99
184  -99         -99          -99           -99
185  -99         -99          -99           -99
186  -99         -99          -99           -99
187  -99         -99          -99           -99
188  -99         -99          -99           -99
189  -99         -99          -99           -99
190  -99         -99          -99           -99
191  -99         -99          -99           -99
193  -99         -99          -99           -99
193A  -99         -99          -99           -99
193B  -99         -99          -99           -99
193C  -99         -99          -99           -99
193D  -99         -99          -99           -99
193E  -99         -99          -99           -99
193F  -99         -99          -99           -99
194  -99         -99          -99           -99
194A  -99         -99          -99           -99
194B  -99         -99          -99           -99
194C  -99         -99          -99           -99
194D  -99         -99          -99           -99
194E  -99         -99          -99           -99
194F  -99         -99          -99           -99
194G  -99         -99          -99           -99
195  -99         -99          -99           -99
196  -99         -99          -99           -99
196A  -99         -99          -99           -99
196B  -99         -99          -99           -99
197  -99         -99          -99           -99
198  -99         -99          -99           -99
198A  -99         -99          -99           -99
199  -99         -99          -99           -99
199A  -99         -99          -99           -99
200  -99         -99          -99           -99
201  -99         -99          -99           -99
201A  -99         -99          -99           -99
202  -99         -99          -99           -99
202A  -99         -99          -99           -99
203  -99         -99          -99           -99
204  -99         -99          -99           -99
205  -99         -99          -99           -99
205A  -99         -99          -99           -99
205B  -99         -99          -99           -99
205C  -99         -99          -99           -99
205D  -99         -99          -99           -99
205E  -99         -99          -99           -99
205F  -99         -99          -99           -99
205G  -99         -99          -99           -99
205H  -99         -99          -99           -99
206  -99         -99          -99           -99
206A  -99         -99          -99           -99
206B  -99         -99          -99           -99
206C  -99         -99          -99           -99
206D  -99         -99          -99           -99
207  -99         -99          -99           -99
207A  -99         -99          -99           -99
208  -99         -99          -99           -99
209  -99         -99          -99           -99
210  -99         -99          -99           -99
211  -99         -99          -99           -99
212  -99         -99          -99           -99
213  -99         -99          -99           -99
213A  -99         -99          -99           -99
214  -99         -99          -99           -99
214A  -99         -99          -99           -99
215  -99         -99          -99           -99
216  -99         -99          -99           -99
217  -99         -99          -99           -99
218  -99         -99          -99           -99
219  -99         -99          -99           -99
219A  -99         -99          -99           -99
219B  -99         -99          -99           -99
219C  -99         -99          -99           -99
219D  -99         -99          -99           -99
219E  -99         -99          -99           -99
220  -99         -99          -99           -99
220A  -99         -99          -99           -99
220B  -99         -99          -99           -99
221  -99         -99          -99           -99
222  -99         -99          -99           -99
223  -99         -99          -99           -99
224  -99         -99          -99           -99
225  -99         -99          -99           -99
226  -99         -99          -99           -99
A001  21        10         1         0
A002  0         0         0         0
A003  0         0         0         0
A004  435       200         6         0
A005  330       140        15         0
A006  32        17         0         0
A007  44        21         0         0
A008  159       105         3         0
A009  206       186         5         0
A010  70        29         6         0
A011  116        53         2         0
A012  83        50         1         0
A013  37         7         0         0
A014  71        63         2         0
A015  14         5         1         0
A016  1626       586        28         0
A017  904       307        23         0
A018  994       457        14         0
A019  20         8         1         0
A020  307       578        14         0
A021  141        68         1         0
A022  0         0         0         0
A023  61        32         1         0
A024  314       108         6         0
A025  408       576         9         0
A026  246       355         5         0
A027  196       128         6         0
A028  575       370        16         0
A029  367       442        18         0
A030  84       103         0         0
A031  -99         -99          -99           -99
A032  -99         -99          -99           -99
A033  -99         -99          -99           -99
A034  -99         -99          -99           -99
A035  -99         -99          -99           -99
A036  -99         -99          -99           -99
A037  -99         -99          -99           -99
A038  -99         -99          -99           -99
A039  -99         -99          -99           -99
A040  -99         -99          -99           -99
A041  -99         -99          -99           -99
A042  -99         -99          -99           -99
A043  -99         -99          -99           -99
A044  -99         -99          -99           -99
A045  -99         -99          -99           -99
A046  -99         -99          -99           -99
A047  -99         -99          -99           -99
A048  -99         -99          -99           -99
A049  -99         -99          -99           -99
A050  -99         -99          -99           -99
A051  -99         -99          -99           -99
A052  -99         -99          -99           -99
A053  -99         -99          -99           -99
A054  -99         -99          -99           -99
A055  -99         -99          -99           -99
A056  -99         -99          -99           -99
A057  -99         -99          -99           -99
A058  -99         -99          -99           -99
A059  -99         -99          -99           -99
A060  -99         -99          -99           -99
A061  -99         -99          -99           -99
A062  -99         -99          -99           -99
A063  -99         -99          -99           -99
A064  -99         -99          -99           -99
A065  -99         -99          -99           -99
A066  -99         -99          -99           -99
A067  -99         -99          -99           -99
A068  -99         -99          -99           -99
A069  -99         -99          -99           -99
A070  -99         -99          -99           -99
A071  -99         -99          -99           -99
A072  -99         -99          -99           -99
A073  -99         -99          -99           -99
A074  -99         -99          -99           -99
A075  -99         -99          -99           -99
A076  -99         -99          -99           -99
A077  -99         -99          -99           -99
A078  -99         -99          -99           -99
