precinct      mccollum    nelson simonetta   deckard     logan    martin  mccormick   writein
  065C             8         7         0         2         0         0          0         0
  0066            73     1269         8         2        42         3          8         0
  0067            45       841         3         2        87         2          4         0
  0068           129       224         2         0         6         2          3         0
  0069            63       604         2         0        19         0          3         0
  069A            31       225         2         0         8         1          0         0
  0070            34       255         0         1         8         0          5         0
  0071           186       811         6         5        23         2          9         0
  071A           156       183         2         1         4         1          1         0
  0073             6        11         0         0         0         0          0         0
  073A           155       308         3         1         8         0          0         0
  073B           298       213         0         1         6         0          0         0
  073C            23        66         0         0         1         0          2         0
  073D            72       107         2         1         1         0          2         0
  073E           159       296         3         0         8         1          2         0
  073F            75        56         0         0         0         0          0         0
  073H           653       931        21         4         8         5          4         0
  073I             4        14         0         0         0         0          0         0
  0074           295       989         8         3        23         5          6         0
  074A            70       453         3         1        29         1          0         0
  074B           338       480         7         6         9         1          1         0
  074C           143       470         4         1        16         2          2         0
  074D            12        86         1         0         1         2          2         0
  074E           408       513         3         3         6         3          3         0
  074F           236       375         3         3        15         0          3         0
  074G           339       604         7         8        15         3          3         0
  0075            75       758         4         7        26         3          6         0
  0076            84       239         8         1         2         1          0         0
  076A           127       460         6         1         8         1          4         0
  0077           731       410         3         2         7         2          2         0
  077A           353       380         4         0         5         0          3         0
  0078           222       268         4         2        12         1          3         0
  0079           194       474         2         5        19         3          5         0
  0081             9       388         0         1        12         1          1         0
  081A            47        42         1         0         1         0          0         0
  0082            44     1205         5         0        45         2          4         0
  0083            58       108         1         1         2         0          0         0
  083A             6        30         1         0         1         0          1         0
  0084            11       216         1         1        12         1          2         0
  0085             7       139         1         1         8         0          1         0
  0086            89        84         1         0         0         0          3         0
  086A            30        83         1         1         1         1          0         0
  086B            42       103         2         2         8         1          1         0
  0087             4         4         0         1         0         0          0         0
  087A            84       181         3         2         4         1          1         0
  087B            18        28         2         0         1         0          0         0
  087C             0         0         0         0         0         0          0         0
  0088           225       334         4         1         6         2          1         0
  088A            18        42         0         0         0         1          2         0
  088B            75       158         2         0         2         0          1         0
  0089           428       538         4         8        15         2          5         0
  0090           486       238         2         0         4         1          1         0
  0091           194       486         8         3         9         3          7         0
  0092           247       379         6         4         6         4          7         0
  092A             1         1         0         0         0         0          0         0
  0093           596       589         6         4        19         1          8         0
  093A           382       359         6         6         6         2          4         0
  093B           616       737        14         8        21         1          9         0
  0094           442       926        10         6        26         7          5         0
  0095           278       408         1         3         9         7          4         0
  095A            97       249         2         3        11         4          1         0
  0096           200       218         2         0        13         3          1         0
  096A            82       183         4         0         4         0          2         0
  0097           549       321         6         1         3         4          2         0
  097A            60       102         1         1         0         1          0         0
  097B            52       386         4         1         9         2          4         0
  0099             9       217         1         0         3         0          2         0
  0100            22       574         6         1        11         2          2         0
  0101           351       350         7         1         1         0          2         0
  101A            50        87         4         2         5         2          2         0
  0102           438       485         9         2        16         6          5         0
  0103            94       133         2         3         8         2          2         0
  0104           139       273         5         4         6         1          2         0
  104A            31        30         1         0         1         0          0         0
  104B           586       810        15        10        14         6         12         0
  104C            16        27         2         1         0         1          1         0
  0105           496       532         2         2        14         0          5         0
  0106           449       668         8         7        11         3          1         0
  0107           361       389        11         2        15         6          4         0
  0108           277       413         6         2        22         1          4         0
  108A           103       171         2         1         2         3          0         0
  108B            22        38         1         0         1         0          0         0
  0109            52       465         7         2        14         5          2         0
  0110           463       606         8         3         6         3          6         0
  0111           273       610         5         1         8         4          2         0
  0112           801       845         6         1        16         8          6         0
  0113           432       603         5         4        12         0          9         0
  113A           236       340        10         3        11         2          3         0
  0114            37       104         0         1         0         1          0         0
  114A            33       103         1         0         0         0          0         0
  114B            40        97         1         0         2         0          0         0
  114C             4         1         0         0         0         0          0         0
  114D             4         2         0         0         0         0          0         0
  0115           224       337         3         4         5         4          4         0
  0116            29        53         0         1         2         0          0         0
  0117           366       644         9         4        14         9          9         0
  117A           407       800        12         4        19        10         16         0
  0118           454       650        12        11        25         6         15         0
  0119           234       276         1         1         9         1          3         0
  119A           131       282         5         2         9         1          3         0
  0120           229       497         7         2        15         3          6         0
  0121           200       317         7         2        13         5          3         0
  121A            68        57         1         1         1         0          0         0
  121B             4        14         0         0         0         0          0         0
  121C             1         5         0         0         0         0          0         0
  121D           161       231         2         1         5         1          2         0
  0122           114       244         3         1         6         4          4         0
  122A            28        35         0         2         1         0          0         0
  0123           221       370         4         0         5         1          4         0
  0124           111       338         3         3        12         7          2         0
  124A            48        74         3         0         3         0          0         0
  124B            29        47         0         1         2         0          0         0
  124C            76       172         1         0         2         1          2         0
  0125           170       481         4         3         6         0          1         0
  0126           102       186         3         0         6         0          5         0
  0127           560       755        11         0        14         4          2         0
  127A           251       262         4         6         5         1          2         0
  0128           445       925        14         5        15         6         13         0
  128A           366       503         9         7        14         7          3         0
  128B           275       355         7         0         9         1          7         0
  128C           336       675        12         0         7         1          0         0
  128D           208       372        10         1        10         4          3         0
  128E           686     1109        10         4        29         3          7         0
  128F           157       207         5         1         7         2          3         0
  128G           299       544        17         4        11         4          8         0
  128H           565       913        11         2        20         6          3         0
  128I           514       875        12         6        13         6         11         0
  128J           431       648        14         3         6         0          1         0
  128K             7         7         1         0         0         0          0         0
  0129           181       298         7         2         8         1          4         0
  129A            57       149         2         1         4         2          2         0
  0130           221       386         7         2        12         3          2         0
  130A           298       338         5         1        10         2          2         0
  130B            14        64         1         0         1         0          0         0
  130C             9        29         1         0         0         0          0         0
  0131           131       209         1         3         5         2          1         0
  131A            68       127         3         3         1         4          0         0
  0132            78       286         3         3         2         3          3         0
  132A           374       691         8         3        19         1          6         0
  132B            84       147         1         2         1         1          1         0
  132C           554       945        14         5        21         4          7         0
  132D           338       623        10         2         5         1          3         0
  0133           155       647         4         4         3         4          1         0
  0134           244       461         7         1         9         1          2         0
  0135           201       144         9         3         4         0          3         0
  135A             2         8         0         0         0         0          0         0
  135B           195       879         1         4         0         2          2         0
  135C            26        17         1         3         0         0          0         0
  135D             0         0         0         0         0         0          0         0
  0136           435       713        10         7        14         8          9         0
  0137           345       582         8         3         7         5          6         0
  0138           160       332         2         2         8         6          5         0
  0140           245       468         7         4         8         6          6         0
  140A           376       555         3         2        12         6          4         0
  0141           290       329         7         3         2         3          5         0
  141A            74       170         5         2         9         2          2         0
  0142           309       328         9         2         7         2          4         0
  142A            39        72         0         1         2         0          2         0
  142B             0         0         0         0         0         0          0         0
  0143            10        12         0         1         0         0          1         0
  0144           381       718         5         5        10         1          5         0
  144A           324       537         6         2        19         5         13         0
  144B           444       675        13         3        22         7         10         0
  144C           493     1016        17         6        17         7          6         0
  144D           623       945        10         5        31         7          9         0
  144E           435       749         2         6        26         3          6         0
  144F             1         8         0         0         0         0          0         0
  0145           210       275         3         0         8         1          5         0
  0146            27       703         3         0         6         0          2         0
  0147           276       551         2         4        12         1          4         0
  147A            29        95         2         0         1         2          0         0
  0148           625       913        16         6        18         4          9         0
  148A           217       351         3         2         6         0          1         0
  148B           162       273         2         1         5         1          1         0
  148C           438       618        16         1        11         2          6         0
  148D           609       883        17         4        16         1          8         0
  148E            43        18         0         1         0         0          1         0
  148F            77       180         2         2         3         1          1         0
  148G           253       827         9         3        10         1          2         0
  148H             1         2         0         0         0         0          0         0
  148J           267       704        12         2        10         2          3         0
  148K            83     1291         1         1         4         1          1         0
  148L           227     1047         8         4         6         0          4         0
  148M           273       713         4         0         8         3          1         0
  148N           141     1138        11         1         4         1          1         0
  148O           489       733         7         4        12         3         11         0
  148P           163       741         4         1         2         0          1         0
  148Q            49       617         4         2         1         1          0         0
  0149           468       535         6         4         7         2          6         0
  0150           465       318         8         2         9         1          3         0
  150A            71        66         1         0         2         0          1         0
  150B            30        31         0         1         1         0          0         0
  0151           106        52         0         1         1         0          0         0
  0152           289       449         9         5        10         3          4         0
  0153           435       629         9         2         8         1          4         0
  153A           381       653        11         3        13         1          7         0
  153B           394       576         7         6        16         7          5         0
  0154           688     1136        15         3         9         3          2         0
  154A           227     1674         5         5         6         2          1         0
  154B           423       117         0         0         1         0          0         0
